"row ID","WSS","BSS"
"validity",48.98541496004466,12512102.129709266
"validity",48.98541496004464,12512102.129709259
"validity",48.970291155139186,12512102.144833066
"validity",48.960517136676486,12512102.154607093
"validity",48.98884443361024,12512102.126279792
"validity",48.98541496004466,12512102.129709266
"validity",48.97029115513917,12512102.144833073
"validity",48.9605171366765,12512102.154607087
"validity",48.96051713667651,12512102.154607091
"validity",48.98541496004464,12512102.129709262
"validity",48.99458513585838,12512102.12053909
"validity",48.97029115513913,12512102.144833071
"validity",48.96051713667651,12512102.154607091
"validity",48.970291155139165,12512102.144833071
"validity",48.96051713667647,12512102.154607093
"validity",48.98884443361022,12512102.126279788
"validity",48.985414960044665,12512102.12970927
"validity",48.95403581962662,12512102.161088407
"validity",48.985414960044615,12512102.129709268
"validity",48.98541496004462,12512102.129709262
"validity",48.97029115513916,12512102.144833066
"validity",48.985414960044686,12512102.129709259
"validity",48.98541496004464,12512102.129709264
"validity",48.98541496004464,12512102.129709268
"validity",49.01535511616749,12512102.099769104
"validity",48.970291155139165,12512102.14483307
"validity",48.970291155139186,12512102.144833066
"validity",48.985414960044665,12512102.129709264
"validity",48.97029115513916,12512102.144833067
"validity",48.9605171366765,12512102.15460709
"validity",49.0011189976716,12512102.114005221
"validity",49.015355116167505,12512102.099769108
"validity",48.985414960044636,12512102.129709266
"validity",48.96051713667647,12512102.154607087
"validity",48.9605171366765,12512102.154607087
"validity",48.985414960044636,12512102.12970927
"validity",48.98541496004465,12512102.129709262
"validity",48.985414960044636,12512102.129709266
"validity",48.97029115513912,12512102.144833067
"validity",48.970291155139186,12512102.144833073
"validity",48.96051713667649,12512102.154607087
"validity",48.985414960044636,12512102.129709266
"validity",48.98541496004465,12512102.129709259
"validity",48.98541496004466,12512102.129709266
"validity",48.97029115513915,12512102.144833073
"validity",48.96051713667649,12512102.154607086
"validity",62.24549123764504,12512088.869632982
"validity",48.96051713667648,12512102.154607091
"validity",49.0153551161675,12512102.099769112
"validity",48.991752340582345,12512102.12337188
"validity",48.98541496004463,12512102.129709264
"validity",48.970291155139186,12512102.144833067
"validity",48.985414960044665,12512102.129709262
"validity",48.98541496004465,12512102.129709266
"validity",48.98541496004465,12512102.129709266
"validity",48.98541496004466,12512102.129709268
"validity",48.97029115513917,12512102.144833071
"validity",48.98541496004466,12512102.129709266
"validity",48.98541496004463,12512102.129709262
"validity",48.96051713667647,12512102.154607091
"validity",48.97029115513917,12512102.144833071
"validity",48.960517136676515,12512102.15460709
"validity",48.985414960044636,12512102.129709266
"validity",62.86378411097715,12512088.251340112
"validity",48.970291155139144,12512102.144833066
"validity",48.97029115513917,12512102.14483307
"validity",48.97029115513917,12512102.144833071
"validity",48.9605171366765,12512102.154607084
"validity",48.970291155139165,12512102.14483307
"validity",48.97029115513915,12512102.144833066
"validity",48.999841509685446,12512102.115282718
"validity",48.985414960044665,12512102.129709266
"validity",48.96051713667651,12512102.154607082
"validity",49.006796995567996,12512102.108327232
"validity",48.97029115513919,12512102.144833073
"validity",48.960517136676486,12512102.154607084
"validity",48.98541496004465,12512102.129709266
"validity",48.9917523405824,12512102.123371884
"validity",48.985414960044636,12512102.129709266
"validity",48.98884443361022,12512102.12627979
"validity",48.98884443361025,12512102.126279794
"validity",48.970291155139165,12512102.14483307
"validity",48.98541496004464,12512102.129709259
"validity",48.985414960044636,12512102.129709266
"validity",48.97248096345847,12512102.142643258
"validity",49.01535511616748,12512102.099769112
"validity",48.985414960044636,12512102.129709262
"validity",48.985414960044665,12512102.129709262
"validity",48.985414960044615,12512102.129709262
"validity",48.98541496004464,12512102.129709264
"validity",48.95403581962661,12512102.161088403
"validity",48.98541496004464,12512102.129709264
"validity",49.0153551161675,12512102.099769106
"validity",48.97029115513916,12512102.14483307
"validity",48.985414960044665,12512102.12970927
"validity",48.985414960044636,12512102.129709262
"validity",48.97029115513915,12512102.144833066
"validity",48.98884443361022,12512102.12627979
"validity",48.98541496004466,12512102.129709262
"validity",48.98884443361022,12512102.126279794
